%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=214893, 2014/10/29 15:29:51.94)
1 5 8.201075e-02 1.000000e+00 -5.376050491461855700e-01 -5.376050491461855700e-01 -4.764862785160870500e-01 -4.332043756373067900e-01
2 9 6.551118e-02 1.000000e+00 -5.390115833429095500e-01 -5.390115833429095500e-01 -4.016273348158095900e-01 -2.834754678065704600e-01
3 13 4.624509e-02 1.000000e+00 -5.390115833429095500e-01 -5.334712772463285900e-01 -4.414296978488160300e-01 -4.005722387221824500e-01
4 17 3.304465e-02 1.000000e+00 -5.390115833429095500e-01 -5.375227840759554400e-01 -4.698284905162762900e-01 -3.816828809689223900e-01
5 21 2.530287e-02 1.000000e+00 -5.399978149137639700e-01 -5.399978149137639700e-01 -5.395284063410561400e-01 -5.393337148418472200e-01
6 25 1.978506e-02 1.000000e+00 -5.400021660538613100e-01 -5.400021660538613100e-01 -5.361856876750997800e-01 -5.303109641434744500e-01
7 29 1.348616e-02 1.000000e+00 -5.400021660538613100e-01 -5.397604520196805900e-01 -5.393389483286426000e-01 -5.389188192189780000e-01
8 33 1.090219e-02 1.000000e+00 -5.400157201034852000e-01 -5.400157201034852000e-01 -5.399446841510302500e-01 -5.387270532843608800e-01
9 37 9.570531e-03 1.000000e+00 -5.400157201034852000e-01 -5.400148620579965400e-01 -5.391050404363436600e-01 -5.390320523343497000e-01
10 41 8.962964e-03 1.000000e+00 -5.400157201034852000e-01 -5.399647976256090100e-01 -5.398383003834452700e-01 -5.394429217175240600e-01
11 45 6.292416e-03 1.000000e+00 -5.400157201034852000e-01 -5.400118337013580800e-01 -5.399933342716274300e-01 -5.397132823172359200e-01
12 49 4.569903e-03 1.000000e+00 -5.400157201034852000e-01 -5.400156170001393400e-01 -5.399993508311815600e-01 -5.398607965063511000e-01
13 53 3.252581e-03 1.000000e+00 -5.400159124538359600e-01 -5.400159124538359600e-01 -5.400126949326045100e-01 -5.400012436548993200e-01
14 57 2.337071e-03 1.000000e+00 -5.400159124538359600e-01 -5.400150746761160900e-01 -5.400027747279078100e-01 -5.399621847499750400e-01
15 61 2.120351e-03 1.000000e+00 -5.400159124538359600e-01 -5.400152395183159800e-01 -5.400119493062551800e-01 -5.400076489393214100e-01
16 65 1.500715e-03 1.000000e+00 -5.400159124538359600e-01 -5.400152606846427800e-01 -5.400134872167166000e-01 -5.400119487760823800e-01
17 69 1.576657e-03 1.000000e+00 -5.400159124538359600e-01 -5.400155883819739400e-01 -5.400148059750660100e-01 -5.400103481106003400e-01
18 73 1.558168e-03 1.000000e+00 -5.400159168262361800e-01 -5.400159168262361800e-01 -5.400158885828385500e-01 -5.400139167139299500e-01
19 77 1.187271e-03 1.000000e+00 -5.400159168262361800e-01 -5.400159150660259800e-01 -5.400157470838284900e-01 -5.400144397636575900e-01
20 81 8.144831e-04 1.000000e+00 -5.400159168262361800e-01 -5.400159159376457500e-01 -5.400158062293782800e-01 -5.400154636416407700e-01
21 85 6.196217e-04 1.000000e+00 -5.400159168262361800e-01 -5.400159168257560000e-01 -5.400158885067825000e-01 -5.400155321019798300e-01
22 89 4.612051e-04 1.000000e+00 -5.400159168262361800e-01 -5.400159154508567000e-01 -5.400158882642431800e-01 -5.400158695885900500e-01
23 93 4.347444e-04 1.000000e+00 -5.400159168262361800e-01 -5.400159166011279100e-01 -5.400159099180427100e-01 -5.400158984744608500e-01
24 97 3.863538e-04 1.000000e+00 -5.400159168262361800e-01 -5.400159166811473500e-01 -5.400159069403495100e-01 -5.400158998883127800e-01
25 101 3.528693e-04 1.000000e+00 -5.400159168262361800e-01 -5.400159152373303900e-01 -5.400159135584596800e-01 -5.400159081558055800e-01
26 105 4.418306e-04 1.000000e+00 -5.400159168262361800e-01 -5.400159149468173300e-01 -5.400159120443448500e-01 -5.400159067622444200e-01
27 109 3.413703e-04 1.000000e+00 -5.400159168262361800e-01 -5.400159167363171000e-01 -5.400159152001138300e-01 -5.400159129802530900e-01
28 113 2.505605e-04 1.000000e+00 -5.400159168317436600e-01 -5.400159168317436600e-01 -5.400159161664989100e-01 -5.400159146340993700e-01
29 117 2.444396e-04 1.000000e+00 -5.400159168317436600e-01 -5.400159166163935900e-01 -5.400159159596078500e-01 -5.400159146464178500e-01
30 121 2.462691e-04 1.000000e+00 -5.400159168317436600e-01 -5.400159168128988400e-01 -5.400159163893747400e-01 -5.400159155362277400e-01
31 125 2.174904e-04 1.000000e+00 -5.400159168317436600e-01 -5.400159167055059700e-01 -5.400159163247434400e-01 -5.400159144519519600e-01
32 129 1.758354e-04 1.000000e+00 -5.400159168317436600e-01 -5.400159166124158800e-01 -5.400159164343995000e-01 -5.400159161299737900e-01
33 133 2.157138e-04 1.000000e+00 -5.400159168317436600e-01 -5.400159168250444600e-01 -5.400159160353369400e-01 -5.400159148318968100e-01
34 137 2.207675e-04 1.000000e+00 -5.400159168317436600e-01 -5.400159168135532100e-01 -5.400159167532228000e-01 -5.400159152441830200e-01
35 141 1.641173e-04 1.000000e+00 -5.400159168317436600e-01 -5.400159168117177900e-01 -5.400159165842402000e-01 -5.400159164292496200e-01
36 145 1.149014e-04 1.000000e+00 -5.400159168381195600e-01 -5.400159168381195600e-01 -5.400159168267054700e-01 -5.400159168142689700e-01
37 149 9.778456e-05 1.000000e+00 -5.400159168381195600e-01 -5.400159168375291400e-01 -5.400159168331519800e-01 -5.400159163808933000e-01
